source,target,wieght
1,0,2.9370161074650305
3,2,2.635986111800974
4,2,2.9370161074650305
4,3,2.6359861118010484
6,5,2.6359861118010484
9,8,2.9370161074650305
10,8,2.9370161074650305
10,9,2.9370161074650305
11,8,2.9370161074650305
11,9,2.9370161074650305
11,10,2.9370161074650305
12,8,2.9370161074650305
12,9,2.9370161074650305
12,10,2.9370161074650305
12,11,2.9370161074650305
13,8,2.9370161074650305
13,9,2.9370161074650305
13,10,2.9370161074650305
13,11,2.9370161074650305
13,12,2.9370161074650305
15,14,2.238046103129336
16,14,2.4598948527454416
18,17,2.9370161074650305
20,19,2.9370161074650305
22,21,2.9370161074650305
23,21,2.9370161074650305
23,22,2.9370161074650305
24,21,2.9370161074650305
24,22,2.9370161074650305
24,23,2.9370161074650305
25,21,2.9370161074650305
25,22,2.9370161074650305
25,23,2.9370161074650305
25,24,2.9370161074650305
27,26,2.2380461031290104
28,26,2.2380461031290104
28,27,2.9370161074650305
31,30,2.9370161074650305
32,30,2.9370161074650305
32,31,2.9370161074650305
34,33,2.6359861118010484
35,33,2.6359861118010484
35,34,2.9370161074650305
37,36,2.9370161074650305
38,36,2.9370161074650305
38,37,2.9370161074650305
40,39,2.4598948527454416
41,39,2.9370161074650305
41,40,2.459894852745366
43,42,2.9370161074650305
47,46,3.7748400131236517
49,48,18.115799262999737
50,48,7.461096178312229
50,49,8.72420668885108
52,51,2.334956116137066
53,51,2.334956116137066
53,52,2.9370161074650305
55,54,2.0346807592064944
56,48,3.4203670727732893
56,49,4.874316639759696
56,50,9.083712456375773
56,55,3.613458461958995
57,50,4.675578986740668
57,56,2.625588781703333
58,48,3.4448583500094836
58,49,3.358045883858411
58,50,4.003632190585114
58,55,2.1593678038456647
58,56,3.1403818882269743
61,60,2.9370161074650305
63,44,2.6804052515895362
63,62,2.335207516712527
64,44,42.81331494442716
64,63,2.995008054442801
65,44,5.0794035185007065
65,64,5.889592349048479
66,44,14.362293240700659
66,63,3.2088878743877713
66,64,15.142183679982963
66,65,6.453817167605148
68,67,2.9370161074650305
69,66,3.328749662506759
71,66,4.684835076885057
71,69,9.53299229742926
72,69,2.0919180674507714
72,70,2.2380461031290104
72,71,2.033926120473086
73,72,2.635986111800974
75,74,10.364836669771895
77,76,2.9370161074650305
